"plot","ndvi","year","month","day"
"118",140.329818725586,"1984","10","12"
"117",149.423278808594,"1984","10","12"
"116",144.667175292969,"1984","10","12"
"115",142.743515014648,"1984","10","12"
"114",143.295806884766,"1984","10","12"
"113",148.162536621094,"1984","10","12"
"112",162.151290893555,"1984","10","12"
"111",157.202514648438,"1984","10","12"
"109",160.820281982422,"1984","10","12"
"100",162.253784179688,"1984","10","12"
"108",158.853042602539,"1984","10","12"
"107",158.406188964844,"1984","10","12"
"106",158.120071411133,"1984","10","12"
"105",157.532669067383,"1984","10","12"
"104",156.243881225586,"1984","10","12"
"103",157.337417602539,"1984","10","12"
"102",158.437454223633,"1984","10","12"
"101",157.003890991211,"1984","10","12"
"88",150.642623901367,"1984","10","12"
"65",148.985198974609,"1984","10","12"
"85",147.331405639648,"1984","10","12"
"82",138.439056396484,"1984","10","12"
"79",134.453750610352,"1984","10","12"
"77",129.1279296875,"1984","10","12"
"74",122.544395446777,"1984","10","12"
"71",126.725288391113,"1984","10","12"
"70",143.439239501953,"1984","10","12"
"68",143.430618286133,"1984","10","12"
"63",139.078079223633,"1984","10","12"
"51",148.406036376953,"1984","10","12"
"61",151.484451293945,"1984","10","12"
"59",148.197204589844,"1984","10","12"
"57",146.315704345703,"1984","10","12"
"56",146.795974731445,"1984","10","12"
"55",137.805953979492,"1984","10","12"
"54",132.996566772461,"1984","10","12"
"53",127.866226196289,"1984","10","12"
"52",143.854110717773,"1984","10","12"
"29",147.241439819336,"1984","10","12"
"8",155.479187011719,"1984","10","12"
"27",134.11799621582,"1984","10","12"
"26",158.870880126953,"1984","10","12"
"23",156.603988647461,"1984","10","12"
"21",166.952911376953,"1984","10","12"
"19",162.381240844727,"1984","10","12"
"17",151.003280639648,"1984","10","12"
"14",142.508087158203,"1984","10","12"
"10",167.438522338867,"1984","10","12"
"96",145.220352172852,"1984","10","12"
"73",155.557312011719,"1984","10","12"
"94",140.046615600586,"1984","10","12"
"92",146.482284545898,"1984","10","12"
"90",140.692504882812,"1984","10","12"
"87",138.096374511719,"1984","10","12"
"84",144.364562988281,"1984","10","12"
"81",140.158981323242,"1984","10","12"
"78",163.631729125977,"1984","10","12"
"76",165.600784301758,"1984","10","12"
"41",153.454559326172,"1984","10","12"
"50",154.969055175781,"1984","10","12"
"42",151.530517578125,"1984","10","12"
"43",153.572341918945,"1984","10","12"
"44",149.847457885742,"1984","10","12"
"45",150.588272094727,"1984","10","12"
"46",143.955993652344,"1984","10","12"
"47",149.276245117188,"1984","10","12"
"48",152.858154296875,"1984","10","12"
"49",153.772506713867,"1984","10","12"
"30",152.703079223633,"1984","10","12"
"7",164.189987182617,"1984","10","12"
"28",151.433135986328,"1984","10","12"
"25",158.162414550781,"1984","10","12"
"24",155.613143920898,"1984","10","12"
"22",155.575698852539,"1984","10","12"
"20",151.105621337891,"1984","10","12"
"16",148.58219909668,"1984","10","12"
"13",145.338821411133,"1984","10","12"
"11",151.315399169922,"1984","10","12"
"99",142.058334350586,"1984","10","12"
"80",135.640594482422,"1984","10","12"
"98",143.036834716797,"1984","10","12"
"97",143.409362792969,"1984","10","12"
"95",141.44775390625,"1984","10","12"
"93",140.969589233398,"1984","10","12"
"91",149.847442626953,"1984","10","12"
"89",149.84033203125,"1984","10","12"
"86",143.912536621094,"1984","10","12"
"83",142.880920410156,"1984","10","12"
"58",160.724716186523,"1984","10","12"
"75",145.319000244141,"1984","10","12"
"72",155.205123901367,"1984","10","12"
"69",159.632186889648,"1984","10","12"
"67",148.540924072266,"1984","10","12"
"66",151.854125976562,"1984","10","12"
"64",152.520614624023,"1984","10","12"
"62",146.236419677734,"1984","10","12"
"60",153.375762939453,"1984","10","12"
"40",153.905364990234,"1984","10","12"
"31",160.629165649414,"1984","10","12"
"39",158.365524291992,"1984","10","12"
"38",148.520645141602,"1984","10","12"
"37",147.90168762207,"1984","10","12"
"36",151.015899658203,"1984","10","12"
"35",145.682968139648,"1984","10","12"
"34",144.196899414062,"1984","10","12"
"33",144.182586669922,"1984","10","12"
"32",156.119888305664,"1984","10","12"
"18",152.237609863281,"1984","10","12"
"1",151.282745361328,"1984","10","12"
"15",152.509033203125,"1984","10","12"
"12",154.092727661133,"1984","10","12"
"9",155.02522277832,"1984","10","12"
"6",152.666046142578,"1984","10","12"
"5",145.088836669922,"1984","10","12"
"4",147.984909057617,"1984","10","12"
"3",149.150573730469,"1984","10","12"
"2",146.45622253418,"1984","10","12"
"110",162.018798828125,"1984","12","31"
"118",135.994277954102,"1984","12","31"
"117",141.160308837891,"1984","12","31"
"116",145.817596435547,"1984","12","31"
"115",141.735488891602,"1984","12","31"
"114",140.568252563477,"1984","12","31"
"113",144.238891601562,"1984","12","31"
"112",159.951873779297,"1984","12","31"
"111",163.696441650391,"1984","12","31"
"109",163,"1984","12","31"
"100",154.311416625977,"1984","12","31"
"108",159.881286621094,"1984","12","31"
"107",161.164962768555,"1984","12","31"
"106",158.392837524414,"1984","12","31"
"105",159.238204956055,"1984","12","31"
"104",159.253479003906,"1984","12","31"
"103",160.004196166992,"1984","12","31"
"102",160.852890014648,"1984","12","31"
"101",155.482666015625,"1984","12","31"
"88",151.263107299805,"1984","12","31"
"65",143.992691040039,"1984","12","31"
"85",146.598449707031,"1984","12","31"
"82",131.571487426758,"1984","12","31"
"79",130.523483276367,"1984","12","31"
"77",121.955291748047,"1984","12","31"
"74",117.949432373047,"1984","12","31"
"71",116.598594665527,"1984","12","31"
"70",141.03596496582,"1984","12","31"
"68",138.893630981445,"1984","12","31"
"63",139.094497680664,"1984","12","31"
"51",151.287490844727,"1984","12","31"
"61",152.411605834961,"1984","12","31"
"59",148.223220825195,"1984","12","31"
"57",151.032409667969,"1984","12","31"
"56",140.447143554688,"1984","12","31"
"55",123.676429748535,"1984","12","31"
"54",130.318344116211,"1984","12","31"
"53",136.353713989258,"1984","12","31"
"52",144.237121582031,"1984","12","31"
"29",143.258544921875,"1984","12","31"
"8",166.001510620117,"1984","12","31"
"27",137.786254882812,"1984","12","31"
"26",141.93962097168,"1984","12","31"
"23",156.620071411133,"1984","12","31"
"21",160.804962158203,"1984","12","31"
"19",166.400253295898,"1984","12","31"
"17",153.518905639648,"1984","12","31"
"14",138.516586303711,"1984","12","31"
"10",159.755996704102,"1984","12","31"
"96",140.953033447266,"1984","12","31"
"73",157.370529174805,"1984","12","31"
"94",141.024261474609,"1984","12","31"
"92",144.226501464844,"1984","12","31"
"90",140.562423706055,"1984","12","31"
"87",140.241775512695,"1984","12","31"
"84",140.217529296875,"1984","12","31"
"81",141.041976928711,"1984","12","31"
"78",137.973907470703,"1984","12","31"
"76",161.558822631836,"1984","12","31"
"41",147.191207885742,"1984","12","31"
"50",150.377395629883,"1984","12","31"
"42",146.856918334961,"1984","12","31"
"43",148.365661621094,"1984","12","31"
"44",148,"1984","12","31"
"45",144.578475952148,"1984","12","31"
"46",143.170837402344,"1984","12","31"
"47",147.959182739258,"1984","12","31"
"48",151.210876464844,"1984","12","31"
"49",158.146759033203,"1984","12","31"
"30",145.027770996094,"1984","12","31"
"7",154.967987060547,"1984","12","31"
"28",143.937576293945,"1984","12","31"
"25",152.828231811523,"1984","12","31"
"24",149.005523681641,"1984","12","31"
"22",151.349426269531,"1984","12","31"
"20",149.950271606445,"1984","12","31"
"16",146.672256469727,"1984","12","31"
"13",141.932434082031,"1984","12","31"
"11",148.480987548828,"1984","12","31"
"99",142.643707275391,"1984","12","31"
"80",137.088760375977,"1984","12","31"
"98",141.009155273438,"1984","12","31"
"97",142.005508422852,"1984","12","31"
"95",144.206420898438,"1984","12","31"
"93",136.658889770508,"1984","12","31"
"91",150.209762573242,"1984","12","31"
"89",155.609451293945,"1984","12","31"
"86",144.596740722656,"1984","12","31"
"83",140.762603759766,"1984","12","31"
"58",157.771118164062,"1984","12","31"
"75",147.641677856445,"1984","12","31"
"72",158.540054321289,"1984","12","31"
"69",158.019561767578,"1984","12","31"
"67",146.100479125977,"1984","12","31"
"66",148.432342529297,"1984","12","31"
"64",149.053176879883,"1984","12","31"
"62",146.753112792969,"1984","12","31"
"60",157.03742980957,"1984","12","31"
"40",150.333969116211,"1984","12","31"
"31",157.697479248047,"1984","12","31"
"39",153.148574829102,"1984","12","31"
"38",144.11735534668,"1984","12","31"
"37",145,"1984","12","31"
"36",148,"1984","12","31"
"35",149.119293212891,"1984","12","31"
"34",147,"1984","12","31"
"33",146.372406005859,"1984","12","31"
"32",146.227416992188,"1984","12","31"
"18",147.694793701172,"1984","12","31"
"1",146.941268920898,"1984","12","31"
"15",150.301559448242,"1984","12","31"
"12",148.798538208008,"1984","12","31"
"9",150.524993896484,"1984","12","31"
"6",150.478744506836,"1984","12","31"
"5",140.375015258789,"1984","12","31"
"4",142.687530517578,"1984","12","31"
"3",145.249664306641,"1984","12","31"
"2",144.979202270508,"1984","12","31"
"110",158.01725769043,"1985","02","01"
"118",134.486236572266,"1985","02","01"
"117",138.958221435547,"1985","02","01"
"116",140.031585693359,"1985","02","01"
"115",134.088012695312,"1985","02","01"
"114",136.1240234375,"1985","02","01"
"113",136.925521850586,"1985","02","01"
"112",158.494674682617,"1985","02","01"
"111",155.578109741211,"1985","02","01"
"109",156.601119995117,"1985","02","01"
"100",148.95149230957,"1985","02","01"
"108",158.382797241211,"1985","02","01"
"107",156.806777954102,"1985","02","01"
"106",155.678192138672,"1985","02","01"
"105",157.194213867188,"1985","02","01"
"104",153.752593994141,"1985","02","01"
"103",151.662582397461,"1985","02","01"
"102",153.481491088867,"1985","02","01"
"101",149.368591308594,"1985","02","01"
"88",145.702331542969,"1985","02","01"
"65",140.627380371094,"1985","02","01"
"85",154.998825073242,"1985","02","01"
"82",145.780258178711,"1985","02","01"
"79",128.843307495117,"1985","02","01"
"77",115.981872558594,"1985","02","01"
"74",114.617530822754,"1985","02","01"
"71",126.900398254395,"1985","02","01"
"70",136.282562255859,"1985","02","01"
"68",137.142013549805,"1985","02","01"
"63",140.964447021484,"1985","02","01"
"51",140.384643554688,"1985","02","01"
"61",141.289733886719,"1985","02","01"
"59",139.21012878418,"1985","02","01"
"57",137.147979736328,"1985","02","01"
"56",138.771194458008,"1985","02","01"
"55",127.132461547852,"1985","02","01"
"54",122.045562744141,"1985","02","01"
"53",88.3609466552734,"1985","02","01"
"52",121.901405334473,"1985","02","01"
"29",137.369995117188,"1985","02","01"
"8",153.011856079102,"1985","02","01"
"27",134.366592407227,"1985","02","01"
"26",134.209518432617,"1985","02","01"
"23",155.152496337891,"1985","02","01"
"21",160.028335571289,"1985","02","01"
"19",159.449172973633,"1985","02","01"
"17",148.569351196289,"1985","02","01"
"14",136.30989074707,"1985","02","01"
"10",151.086395263672,"1985","02","01"
"96",139.822967529297,"1985","02","01"
"73",151.171081542969,"1985","02","01"
"94",135.759094238281,"1985","02","01"
"92",139.386108398438,"1985","02","01"
"90",134.901306152344,"1985","02","01"
"87",132.97004699707,"1985","02","01"
"84",136.986480712891,"1985","02","01"
"81",134.677734375,"1985","02","01"
"78",140.465423583984,"1985","02","01"
"76",155.666000366211,"1985","02","01"
"41",145.177490234375,"1985","02","01"
"50",144.78532409668,"1985","02","01"
"42",140.166412353516,"1985","02","01"
"43",140.330657958984,"1985","02","01"
"44",139.688354492188,"1985","02","01"
"45",139.932983398438,"1985","02","01"
"46",141.486740112305,"1985","02","01"
"47",142.286697387695,"1985","02","01"
"48",144.935287475586,"1985","02","01"
"49",149.086303710938,"1985","02","01"
"30",141.502182006836,"1985","02","01"
"7",148.138092041016,"1985","02","01"
"28",141.360824584961,"1985","02","01"
"25",145.918762207031,"1985","02","01"
"24",143.279861450195,"1985","02","01"
"22",143,"1985","02","01"
"20",144.235610961914,"1985","02","01"
"16",139.90608215332,"1985","02","01"
"13",139.395202636719,"1985","02","01"
"11",139.461929321289,"1985","02","01"
"99",139.044647216797,"1985","02","01"
"80",135.939010620117,"1985","02","01"
"98",135.516860961914,"1985","02","01"
"97",140.178741455078,"1985","02","01"
"95",138.125259399414,"1985","02","01"
"93",136.422973632812,"1985","02","01"
"91",142.501983642578,"1985","02","01"
"89",147.913345336914,"1985","02","01"
"86",140.125106811523,"1985","02","01"
"83",138.883102416992,"1985","02","01"
"58",149.207183837891,"1985","02","01"
"75",140.300308227539,"1985","02","01"
"72",147.810989379883,"1985","02","01"
"69",151.786209106445,"1985","02","01"
"67",143.100479125977,"1985","02","01"
"66",143.391250610352,"1985","02","01"
"64",143.394073486328,"1985","02","01"
"62",141.049530029297,"1985","02","01"
"60",143.235412597656,"1985","02","01"
"40",147.530197143555,"1985","02","01"
"31",150.196624755859,"1985","02","01"
"39",147.490112304688,"1985","02","01"
"38",139.81266784668,"1985","02","01"
"37",143.588424682617,"1985","02","01"
"36",143.228775024414,"1985","02","01"
"35",138.79411315918,"1985","02","01"
"34",139.522415161133,"1985","02","01"
"33",134.846542358398,"1985","02","01"
"32",150.546188354492,"1985","02","01"
"18",141.761871337891,"1985","02","01"
"1",140.186798095703,"1985","02","01"
"15",145,"1985","02","01"
"12",146.201461791992,"1985","02","01"
"9",145.094100952148,"1985","02","01"
"6",145.645156860352,"1985","02","01"
"5",135.331192016602,"1985","02","01"
"4",137.596771240234,"1985","02","01"
"3",137.106719970703,"1985","02","01"
"2",142.274063110352,"1985","02","01"
"110",160.320419311523,"1985","03","05"
"118",142.374313354492,"1985","03","05"
"117",142.024841308594,"1985","03","05"
"116",148.875900268555,"1985","03","05"
"115",142.635772705078,"1985","03","05"
"114",139.818420410156,"1985","03","05"
"113",141.113830566406,"1985","03","05"
"112",159.140960693359,"1985","03","05"
"111",160.580642700195,"1985","03","05"
"109",161.382659912109,"1985","03","05"
"100",160.614151000977,"1985","03","05"
"108",161.360641479492,"1985","03","05"
"107",158.82893371582,"1985","03","05"
"106",156.332778930664,"1985","03","05"
"105",161.154769897461,"1985","03","05"
"104",155.877838134766,"1985","03","05"
"103",157.931259155273,"1985","03","05"
"102",156.433258056641,"1985","03","05"
"101",157.680480957031,"1985","03","05"
"88",154.753387451172,"1985","03","05"
"65",147.632339477539,"1985","03","05"
"85",160.058319091797,"1985","03","05"
"82",141.267547607422,"1985","03","05"
"79",132.129013061523,"1985","03","05"
"77",122.077293395996,"1985","03","05"
"74",123.000473022461,"1985","03","05"
"71",139.345245361328,"1985","03","05"
"70",146.856918334961,"1985","03","05"
